country,code,region,income_gp,population,HCW,Dx_consortium
Equatorial Guinea,GNQ,Sub-Saharan Africa,UMIC,1355986,2209.556893,Yes
Eritrea,ERI,Sub-Saharan Africa,LIC,3213972,299,Yes
Estonia,EST,Europe & Central Asia,HIC,1326590,17545.90792,
Eswatini,SWZ,Sub-Saharan Africa,LMIC,1148130,6982.612358,Yes
Ethiopia,ETH,Sub-Saharan Africa,LIC,112078730,163337.0823,Yes
Faroe Islands,FRO,Europe & Central Asia,HIC,48678,19.69854271,
Fiji,FJI,East Asia & Pacific,UMIC,889953,4227.550836,Yes
Finland,FIN,Europe & Central Asia,HIC,5520314,129493.8724,
France,FRA,Europe & Central Asia,HIC,67059887,1156683.441,
French Polynesia,PYF,East Asia & Pacific,HIC,279287,591.3586798,
Gabon,GAB,Sub-Saharan Africa,UMIC,2172579,8027.257394,Yes
Gambia,GMB,Sub-Saharan Africa,LIC,2347706,7112.109497,Yes
Georgia,GEO,Europe & Central Asia,UMIC,3720382,38700.77779,Yes
Germany,DEU,Europe & Central Asia,HIC,83132799,1802683.552,
Ghana,GHA,Sub-Saharan Africa,LMIC,30417856,63150.71007,Yes
Greece,GRC,Europe & Central Asia,HIC,10716322,127012.8101,
Greenland,GRL,Europe & Central Asia,HIC,56225,0,
Grenada,GRD,Latin America & Caribbean,UMIC,112003,740.3237383,Yes
Guatemala,GTM,Latin America & Caribbean,UMIC,16604026,31388.07253,Yes
Guinea,GIN,Sub-Saharan Africa,LIC,12771246,13550.38019,Yes
Guinea-Bissau,GNB,Sub-Saharan Africa,LIC,1920922,6652.227092,Yes
Guyana,GUY,Latin America & Caribbean,UMIC,782766,2151.990756,Yes
Haiti,HTI,Latin America & Caribbean,LIC,11263077,18106.241,Yes
Honduras,HND,Latin America & Caribbean,LMIC,9746117,21594.52119,Yes
Hong Kong SAR China,HKG,East Asia & Pacific,HIC,7507400,13099.02227,
Hungary,HUN,Europe & Central Asia,HIC,9769949,120410.6254,
Iceland,ISL,Europe & Central Asia,HIC,361313,8690.746078,
India,IND,South Asia,LMIC,1366417754,6562671.873,Yes
Indonesia,IDN,East Asia & Pacific,UMIC,270625568,816205.2667,Yes
Iran,IRN,Middle East & North Africa,UMIC,82913906,397331.0304,Yes
Iraq,IRQ,Middle East & North Africa,UMIC,39309783,127673.5648,Yes
Ireland,IRL,Europe & Central Asia,HIC,4941444,103962.7984,
Israel,ISR,Middle East & North Africa,HIC,9053300,109884.8004,
Italy,ITA,Europe & Central Asia,HIC,60297396,803107.5301,
Jamaica,JAM,Latin America & Caribbean,UMIC,2948279,9358.672269,Yes
Japan,JPN,East Asia & Pacific,HIC,126264931,2195175.752,
Jordan,JOR,Middle East & North Africa,UMIC,10101694,91296.53581,Yes
Kazakhstan,KAZ,Europe & Central Asia,UMIC,18513930,251946.907,Yes
Kenya,KEN,Sub-Saharan Africa,LMIC,52573973,132056.5582,Yes
Kiribati,KIR,East Asia & Pacific,LMIC,117606,712.2894021,Yes
South Korea,KOR,East Asia & Pacific,HIC,51709098,507914.0504,
Kosovo,XKX,Europe & Central Asia,UMIC,1794248,746.2372337,Yes
Kuwait,KWT,Middle East & North Africa,HIC,4207083,48971.01558,
Kyrgyzstan,KGZ,Europe & Central Asia,LMIC,6456900,59325.78099,Yes
Laos,LAO,East Asia & Pacific,LMIC,7169455,17243.67985,Yes
Latvia,LVA,Europe & Central Asia,HIC,1912789,19627.16023,
Lebanon,LBN,Middle East & North Africa,UMIC,6855713,56580.56205,Yes
Lesotho,LSO,Sub-Saharan Africa,LMIC,2125268,2599.336982,Yes
Liberia,LBR,Sub-Saharan Africa,LIC,4937374,1763.617042,Yes
Libya,LBY,Middle East & North Africa,UMIC,6777452,74153.47021,Yes
Liechtenstein,LIE,Europe & Central Asia,HIC,38019,15.35899457,
Lithuania,LTU,Europe & Central Asia,HIC,2786844,43278.50547,
Luxembourg,LUX,Europe & Central Asia,HIC,619896,12336.71987,
Madagascar,MDG,Sub-Saharan Africa,LIC,26969307,21234.44186,Yes
Malawi,MWI,Sub-Saharan Africa,LIC,18628747,20478.67997,Yes
Malaysia,MYS,East Asia & Pacific,UMIC,31949777,244031.8911,Yes
Maldives,MDV,South Asia,UMIC,530953,4240.203296,Yes
Mali,MLI,Sub-Saharan Africa,LIC,19658031,18067.09724,Yes
Malta,MLT,Middle East & North Africa,HIC,502653,7919.461726,
Mauritania,MRT,Sub-Saharan Africa,LMIC,4525696,7760.950592,Yes
Mauritius,MUS,Sub-Saharan Africa,HIC,1265711,10506.93515,Yes
Mexico,MEX,Latin America & Caribbean,UMIC,127575529,824443.2355,Yes
Moldova,MDA,Europe & Central Asia,LMIC,2657637,32178.31528,Yes
Monaco,MCO,Europe & Central Asia,HIC,38964,1276.856584,
Mongolia,MNG,East Asia & Pacific,LMIC,3225167,29252.38608,Yes
Montenegro,MNE,Europe & Central Asia,UMIC,622137,5731.74446,Yes
Morocco,MAR,Middle East & North Africa,LMIC,36471769,100023.1859,Yes
Mozambique,MOZ,Sub-Saharan Africa,LIC,30366036,21740.40056,Yes
Myanmar (Burma),MMR,East Asia & Pacific,LMIC,54045420,149457.4565,Yes
Namibia,NAM,Sub-Saharan Africa,UMIC,2494530,10513.89073,Yes
Nepal,NPL,South Asia,LMIC,28608710,141682.6784,Yes
Netherlands,NLD,Europe & Central Asia,HIC,17332850,307066.5993,
New Caledonia,NCL,East Asia & Pacific,HIC,287800,706.6291294,
New Zealand,NZL,East Asia & Pacific,HIC,4917000,87618.20548,
Nicaragua,NIC,Latin America & Caribbean,LMIC,6545502,29015.38158,Yes
